"horas_estudio","promedio","tiempo_sin_redes","revision_dia","horas_sueno","contenido","satisfaccion_academica","satisfaccion_social","universidad","red_social_usada"
11,15.95,2,5,5,"Información (noticias , actualidad)","5","5","Pública","Instagram"
3,12.5,3,4,5,"Educación (contenido académico)","1","3","Privada","Whatsapp"
10,17,4,5,8,"Información (noticias , actualidad)","3","4","Privada","Instagram"
8,16,4,5,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
6,12,3,7,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Tiktok"
3,9.1,12,2,7,"Socializar","5","5","Pública","Otro"
2,20,4,15,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Pública","Whatsapp"
5,14,2,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
6,NA,2,8,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","1","Pública","Whatsapp"
3,14.5,5,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
2,10,10,20,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Tiktok"
2,NA,1.5,4,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
8,15.24,2.4,4,6.5,"Educación (contenido académico)","5","5","Privada","Whatsapp"
2,14.92,1.5,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Instagram"
3,16.7,2,8,7,"Educación (contenido académico)","4","4","Privada","Whatsapp"
6,15.17,1,30,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
12,13,5,4,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
2,15,3,2,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Pública","Instagram"
7,15.8,12,5,6,"Socializar","4","4","Privada","Whatsapp"
4,14.14,2,4,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
4,14.5,NA,10,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
6,14.44,1.5,6,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
8,15,5,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Whatsapp"
1,NA,4,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Pública","Whatsapp"
2,12,5,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
2,14.13,3,2,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Whatsapp"
3,13,2.5,4,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
6,14,1,20,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Pública","Whatsapp"
10,15,12,1,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Discord"
2,17,10,3,6,"Socializar","4","4","Privada","Whatsapp"
6,15.6,2,20,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
1.5,13.5,1.5,7,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Tiktok"
4,14.35,2,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Instagram"
8,13,6,15,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Whatsapp"
6,13,1,5,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Whatsapp"
10,NA,5,1,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Whatsapp"
2.5,7,4,1,6.5,"Educación (contenido académico)","2","2","Pública","Whatsapp"
10,12.4,3,20,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
6,13,2,6,6,"Educación (contenido académico)","4","1","Privada","Whatsapp"
8,14,2,10,6,"Educación (contenido académico)","4","3","Privada","Whatsapp"
4,11.4,3,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
4,15,1,2,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Discord"
2.3,12,2.5,5,7,"Educación (contenido académico)","4","3","Privada","Whatsapp"
6,13,1,3,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Pública","Instagram"
4.5,13,NA,0,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
5.6,16.6,5.3,8,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Facebook / meta"
6,14,5,8,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Pública","Whatsapp"
2,13,2.5,0,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
10,13,5,15,7,"Socializar","3","4","Privada","Whatsapp"
1,15,12,0,8,"Socializar","5","5","Privada","Whatsapp"
5,16,2,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
4,13,4,3,7,"Educación (contenido académico)","3","4","Privada","Whatsapp"
3.5,16,4,4,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
2,13,0.7,20,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Discord"
2,11,3,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
2,14,12,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Tiktok"
4,14.6,1,20,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","X (Twitter)"
3,14,4,4,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","1","Privada","Discord"
1,NA,2,0,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
8,17,5,2,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
4,18,2,5,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Pública","Whatsapp"
2,12.5,2,8,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Instagram"
1,16,2,NA,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
1.5,NA,1.5,2,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Instagram"
3,17.63,10,3,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","4","Privada","Tiktok"
5,15.39,4,15,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Discord"
12,13,2,6,8,"Educación (contenido académico)","3","4","Pública","Whatsapp"
2,17,4,8,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Instagram"
4,12,5,8,6,"Educación (contenido académico)","3","4","Privada","Whatsapp"
2,13,3,7,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
7,12,1,8,8,"Socializar","3","4","Privada","Tiktok"
8,14.8,2,70,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Instagram"
8.5,19.5,1,5,4,"Educación (contenido académico)","5","5","Privada","Whatsapp"
2,16.45,3,6,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Tiktok"
5,14.12,10,100,5,"Educación (contenido académico)","3","2","Privada","Whatsapp"
9,17,5,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","3","Pública","Whatsapp"
5,14,0.5,8,5,"Información (noticias , actualidad)","4","5","Pública","Whatsapp"
1.5,14.08,1.5,12,4,"Educación (contenido académico)","2","4","Privada","Whatsapp"
3,NA,2,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
1.5,14.08,2,20,5,"Información (noticias , actualidad)","3","4","Privada","Whatsapp"
11,NA,7,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","4","Privada","Tiktok"
4.3,17,2,6,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
18,16,6,12,5,"Socializar","4","4","Privada","Instagram"
5,12,4,50,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
4,13,4,16,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
7.5,18,2,3,6,"Información (noticias , actualidad)","4","4","Privada","Tiktok"
6,16.9,NA,2,4,"Educación (contenido académico)","5","5","Pública","Whatsapp"
10,15,5,10,5,"Educación (contenido académico)","4","3","Pública","Whatsapp"
3,12,3,10,5,"Socializar","3","5","Privada","Whatsapp"
4,14.9,3,8,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Whatsapp"
5,16,3,20,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
4.5,17,2,8,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","4","Privada","Tiktok"
5,15,5,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
5,14,2,4,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Instagram"
4,13,1,40,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
5,18,7,6,8,"Información (noticias , actualidad)","5","4","Privada","Whatsapp"
4,16,2,5,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Instagram"
4,14,3,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Instagram"
4,NA,4.5,2,5,"Educación (contenido académico)","5","2","Privada","Whatsapp"
5,14.7,3,20,8,"Socializar","3","5","Privada","Whatsapp"
4,16.43,3,10,6.5,"Educación (contenido académico)","5","5","Privada","Whatsapp"
5,13.123,0.5,90,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","1","5","Pública","Instagram"
3,17,8,3,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
2,3,1,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Instagram"
8,16,2,10,6,"Educación (contenido académico)","4","4","Privada","Tiktok"
5,13,4,2,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Instagram"
4,15.5,3,10,6,"Socializar","3","2","Pública","Whatsapp"
3,16,10,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","2","Privada","Tiktok"
2,14.57,2,0,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Facebook / meta"
8,15,2,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Instagram"
1,16,1.5,50,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
9,15,0.3,20,6,"Educación (contenido académico)","2","1","Privada","Whatsapp"
2,15,1.5,30,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
7,15,5,0,6,"Educación (contenido académico)","5","5","Privada","Whatsapp"
3.5,16,1,3,5,"Educación (contenido académico)","3","4","Privada","Whatsapp"
9,16,2,3,6,"Información (noticias , actualidad)","4","5","Pública","Instagram"
3,14,12,10,5,"Información (noticias , actualidad)","2","3","Privada","Whatsapp"
1,16,5,1,6,"Socializar","4","2","Privada","Whatsapp"
6,15,2,3,6,"Información (noticias , actualidad)","3","3","Privada","Tiktok"
5,15,2,3,5,"Información (noticias , actualidad)","2","3","Privada","Whatsapp"
6,13,3,4,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
2,16,4,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Pública","Whatsapp"
5,NA,1,6,8,"Información (noticias , actualidad)","3","2","Privada","Whatsapp"
2.5,17,1.5,5,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
6,17,1.5,4,6,"Educación (contenido académico)","4","3","Pública","Whatsapp"
5,15,1,20,8,"Información (noticias , actualidad)","4","1","Privada","Whatsapp"
1,16.3,6,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
6,16,1,50,7,"Educación (contenido académico)","4","4","Privada","Whatsapp"
3,14,1,1,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
17,16,1,40,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
5,14.5,3,6,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
8,15,1,20,8,"Información (noticias , actualidad)","5","5","Pública","Whatsapp"
6,15.96,3,2,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
17,15,1.5,0,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Instagram"
5,14.4,NA,30,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Instagram"
1,15.6,3,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Whatsapp"
10,13,2,4,8,"Información (noticias , actualidad)","2","2","Privada","Whatsapp"
5,16.6,2,5,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
5,17.5,3,20,8,"Educación (contenido académico)","5","5","Privada","Tiktok"
5,14,9,5,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
2,18.86,2,30,8,"Educación (contenido académico)","5","5","Privada","X (Twitter)"
4,NA,2,3,6,"Educación (contenido académico)","5","5","Privada","Whatsapp"
3,17,2,9,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
5,15,4,6,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
1,14,2,10,6,"Información (noticias , actualidad)","2","4","Privada","Whatsapp"
4,15,3,4,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","1","Privada","Whatsapp"
8,15,1,10,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Instagram"
2,13,10,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Instagram"
4,15,5,4,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","2","Pública","Whatsapp"
1,12,12,1,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Discord"
1,12.4,12,8,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Instagram"
5,14,1,1,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Whatsapp"
5.5,12,3.5,30,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Pública","Whatsapp"
2,16.5,2,0,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","1","Privada","Whatsapp"
6,15,5,5,7,"Educación (contenido académico)","4","4","Privada","Whatsapp"
7,NA,2,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
4,16,3,2,6,"Socializar","4","4","Pública","Whatsapp"
2,4,3.5,5,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Pública","Whatsapp"
2,18,2,3,6,"Información (noticias , actualidad)","4","4","Privada","Whatsapp"
5,14,1,10,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Pública","Whatsapp"
10,15,3,8,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
4,14,6,5,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
5,16,5,3,7,"Información (noticias , actualidad)","4","5","Privada","Facebook / meta"
5,0.5,4,10,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
2,15.6,4,20,6,"Información (noticias , actualidad)","3","4","Privada","Whatsapp"
4,13,1,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","1","1","Privada","Whatsapp"
2,14,6,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","5","Privada","Tiktok"
15,14,5,5,8,"Educación (contenido académico)","4","4","Pública","Whatsapp"
4,15.7,3,6,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
17,14,NA,0,7,"Educación (contenido académico)","5","5","Privada","Discord"
3,16,4.5,9,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Instagram"
4,14,2,50,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","4","Pública","Tiktok"
5,13,NA,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Pública","Whatsapp"
4.6,14,5,2,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","2","Privada","Whatsapp"
1,14,1.5,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Whatsapp"
9,14,4,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Pública","Whatsapp"
6,11.5,5,40,6,"Educación (contenido académico)","3","2","Pública","Tiktok"
2,16,1.5,10,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
6,13.1,2,10,7,"Socializar","4","4","Pública","Whatsapp"
6,17,3,30,6,"Información (noticias , actualidad)","5","5","Pública","X (Twitter)"
7,15,3,6,6,"Información (noticias , actualidad)","3","4","Privada","Instagram"
3,12,2,8,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
1,16,3,15,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Instagram"
2,15,5,50,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","2","Privada","Facebook / meta"
3,12.5,3,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
4,11,4,6,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
4,15,1,50,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Facebook / meta"
8,18,3,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Pública","Whatsapp"
3,14,3,20,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Instagram"
1,14,NA,5,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Whatsapp"
4,14,2,20,7,"Socializar","4","5","Privada","Tiktok"
1.5,15.1,4,5,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Instagram"
4,13,3,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
15,14,5,4,7,"Información (noticias , actualidad)","4","3","Pública","Whatsapp"
8,14,NA,3,6,"Socializar","3","5","Privada","Whatsapp"
5,15,2,2,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
6,12,1.5,10,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
3.5,13.37,2.3,8,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
2,13.8,3.4,4,6,"Información (noticias , actualidad)","3","3","Privada","Tiktok"
4.5,20,3,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","4","Privada","Whatsapp"
3,12,8,8,6,"Información (noticias , actualidad)","2","4","Privada","Tiktok"
3,14.8,2,5,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","2","Privada","X (Twitter)"
2.5,18,1.5,15,6.5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
4,14.6,1.5,12,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Pública","Whatsapp"
1,13,1,20,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","1","5","Privada","Whatsapp"
4,NA,NA,2,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Facebook / meta"
4,14,4,6,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
5,12.48,0.9,5,5.5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
2,18,1,5,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","3","Privada","Instagram"
4,17,2,3,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
4,12,6,4,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Pública","Whatsapp"
3,13.8,2,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
7,13,2,75,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Whatsapp"
5,14,2,15,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
7,17.6,1,12,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","2","Privada","Tiktok"
1,15,0.5,9,7,"Socializar","3","4","Privada","Instagram"
8,11,NA,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","X (Twitter)"
2,16,2,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Instagram"
2,13.5,2,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Pública","Instagram"
5,17,2,50,8,"Educación (contenido académico)","5","5","Privada","Instagram"
2,15,2,20,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Whatsapp"
2,16,5,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
5,12,5,7,3,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Tiktok"
2,14.9,12,2,8,"Socializar","4","4","Privada","Whatsapp"
2.5,12.7,1.5,20,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Whatsapp"
3,12,5,20,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
1,16,3,5,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Instagram"
6,15,10,0,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Whatsapp"
4,18.76,0.5,5,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Instagram"
6,14,5,70,8,"Socializar","4","3","Privada","Whatsapp"
5,12,2,5,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
2,15,1,0,6,"Información (noticias , actualidad)","3","2","Privada","Whatsapp"
4,17.4,1.5,4,5,"Información (noticias , actualidad)","3","5","Pública","Whatsapp"
5,13.5,2,20,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Tiktok"
6,13.3,1.5,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Tiktok"
4,14,3,4,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Otro"
6.3,18,5.3,2,6,"Educación (contenido académico)","5","5","Pública","Whatsapp"
4,16,NA,60,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Tiktok"
5,15,8,10,8,"Socializar","3","5","Privada","Instagram"
6,NA,NA,5,6,"Socializar","3","3","Privada","Otro"
8,15.45,8,10,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","3","Privada","Tiktok"
1,15.4,3,1,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
5,14,12,5,5,"Educación (contenido académico)","4","5","Privada","Tiktok"
8,NA,5,20,8,"Educación (contenido académico)","5","5","Pública","Tiktok"
4,16.32,2,7,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
4,14.6,3,5,7,"Socializar","4","3","Privada","Whatsapp"
2.4,NA,14,2,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Pública","Whatsapp"
3,19,2,1,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
5,16.4,1,34,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Whatsapp"
10,14.98,2,20,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
7,13,1,15,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Tiktok"
3.5,16,NA,50,5,"Socializar","3","4","Privada","Whatsapp"
3.5,12.61,3,20,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Facebook / meta"
5,14.3,2,15,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","3","Privada","Tiktok"
4,18,2,10,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Whatsapp"
3,13,7,5,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","4","Privada","Tiktok"
4,12,6,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","5","Privada","Instagram"
2.5,12,1.5,30,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","4","Privada","Whatsapp"
2,14.2,12,5,6,"Información (noticias , actualidad)","4","5","Privada","Whatsapp"
4,13.55,1,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Instagram"
3,16,3,3,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Tiktok"
2,15,3,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
5,16.46,NA,50,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Otro"
4,1,2,NA,8,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Whatsapp"
4,14,NA,4,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","5","5","Privada","Whatsapp"
3,14.6,5,15,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
2,14.7,2,10,7,"Información (noticias , actualidad)","4","4","Privada","Tiktok"
3,17,1,10,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Whatsapp"
12,15,NA,2,6,"Educación (contenido académico)","5","5","Privada","Whatsapp"
4,16,1,15,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Tiktok"
7,13,3,5,4,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Whatsapp"
2,NA,0.5,0,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Pública","Whatsapp"
2,13,5,20,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","5","Privada","Whatsapp"
2,18,5,8,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","4","4","Privada","Whatsapp"
4.5,13,1,1,5,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Whatsapp"
4,14,4,3,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","3","Privada","Otro"
7.8,15,2,15,5,"Educación (contenido académico)","4","4","Privada","Whatsapp"
1.5,15,3,6,7,"Entretenimiento (ver videos, seguir deportes, escuchar música)","2","3","Privada","Whatsapp"
5,17,2,6,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","2","Privada","Tiktok"
1,10,0,50,5,"Información (noticias , actualidad)","2","5","Privada","Instagram"
3,13,4,0,6,"Entretenimiento (ver videos, seguir deportes, escuchar música)","3","4","Privada","Otro"
